geoid,lon,lat
17191,-88.425628,38.429570
17193,-88.179547,38.087415
17195,-89.914096,41.756278
17197,-87.978556,41.445021
17199,-88.929918,37.730254
17201,-89.160844,42.336256
17203,-89.211142,40.788232
18001,-84.936616,40.745655
18003,-85.066574,41.090885
18005,-85.897592,39.205956
18007,-87.310938,40.606255
18009,-85.324822,40.473637
18011,-86.468709,40.050798
18013,-86.227384,39.196227
18015,-86.563500,40.582842
18017,-86.345983,40.761535
18019,-85.707317,38.477311
18021,-87.115763,39.392772
18023,-86.475143,40.301695
18025,-86.451717,38.292372
18027,-87.072047,38.702404
18029,-84.973324,39.145226
18031,-85.501109,39.307001
18033,-84.999066,41.397569
18035,-85.396900,40.227546
18037,-86.879806,38.364271
18039,-85.858748,41.597388
18041,-85.178764,39.640029
18043,-85.906907,38.319040
18045,-87.241973,40.120901
18047,-85.060144,39.414869
18049,-86.263537,41.046978
18051,-87.584620,38.311884
18053,-85.654715,40.515799
18055,-86.962045,39.036351
18057,-86.052027,40.072479
18059,-85.773245,39.823556
18061,-86.111477,38.195259
18063,-86.509970,39.769520
18065,-85.396425,39.931063
18067,-86.116959,40.483608
18069,-85.488131,40.829220
18071,-86.037530,38.906419
18073,-87.116121,41.022983
18075,-85.005705,40.437957
18077,-85.438537,38.785770
18079,-85.628052,38.996921
18081,-86.101628,39.489970
18083,-87.418047,38.689031
18085,-85.860723,41.244072
18087,-85.426491,41.642621
18089,-87.382097,41.417176
18091,-86.740001,41.545972
18093,-86.483452,38.841161
18095,-85.719359,40.161619
18097,-86.138470,39.781711
18099,-86.261766,41.324843
18101,-86.803076,38.708016
18103,-86.045049,40.769457
18105,-86.523127,39.160910
18107,-86.893308,40.040389
18109,-86.446231,39.481570
18111,-87.397589,40.955843
18113,-85.417504,41.398604
18115,-84.965095,38.950038
18117,-86.495061,38.541791
18119,-86.837640,39.312822
18121,-87.206375,39.773632
18123,-86.638028,38.079649
18125,-87.232163,38.398782
18127,-87.067292,41.460546
18129,-87.868390,38.021830
18131,-86.698797,41.041854
18133,-86.844994,39.666280
18135,-85.011443,40.157588
18137,-85.262377,39.103474
18139,-85.465753,39.619966
18141,-86.289874,41.616661
18143,-85.747480,38.685077
18145,-85.791687,39.523703
18147,-87.007711,38.014187
18149,-86.647642,41.280934
18151,-85.000859,41.643892
18153,-87.414781,39.088802
18155,-85.036984,38.826180
18157,-86.894059,40.388620
18159,-86.051851,40.311344
18161,-84.925138,39.625595
18163,-87.585836,38.025252
18165,-87.463976,39.853799
18167,-87.389931,39.430658
18169,-85.793999,40.845642
18171,-87.353295,40.346935
18173,-87.272097,38.092239
18175,-86.105305,38.599993
18177,-85.009838,39.864382
18179,-85.221194,40.729189
18181,-86.865484,40.749760
18183,-85.505120,41.139380
19001,-94.470965,41.330738
19003,-94.699177,41.028967
19005,-91.378052,43.284283
19007,-92.868603,40.743172
19009,-94.905818,41.684603
19011,-92.065705,42.080205
19013,-92.308829,42.470093
19015,-93.931659,42.036546
19017,-92.318049,42.774590
19019,-91.837841,42.470784
19021,-95.151134,42.735496
19023,-92.790181,42.731569
19025,-94.640402,42.385184
19027,-94.860566,42.036208
19029,-94.927820,41.331505
19031,-91.132416,41.772316
19033,-93.260820,43.081563
19035,-95.623812,42.735621
19037,-92.317668,43.060058
19039,-93.785162,41.029016
19041,-95.150936,43.082572
19043,-91.341431,42.844722
19045,-90.531963,41.898035
19047,-95.381978,42.037199
19049,-94.039742,41.684893
19051,-92.409702,40.747689
19053,-93.786288,40.737700
19055,-91.367347,42.471199
19057,-91.181466,40.923187
19059,-95.150881,43.377911
19061,-90.882457,42.468823
19063,-94.678425,43.377942
19065,-91.844358,42.862608
19067,-92.789006,43.059934
19069,-93.262472,42.732548
19071,-95.604671,40.745568
19073,-94.396846,42.036237
19075,-92.791429,42.401865
19077,-94.501063,41.683746
19079,-93.706782,42.383760
19081,-93.734282,43.081910
19083,-93.240402,42.383878
19085,-95.816838,41.682861
19087,-91.544539,40.987967
19089,-92.317205,43.356755
19091,-94.207170,42.776464
19093,-95.513506,42.386894
19095,-92.065506,41.686323
19097,-90.574245,42.171738
19099,-93.053766,41.686038
19101,-91.948892,41.031766
19103,-91.588087,41.671553
19105,-91.131425,42.121235
19107,-92.178639,41.336454
19109,-94.206721,43.204201
19111,-91.479261,40.641999
19113,-91.598958,42.078934
19115,-91.259612,41.218523
19117,-93.327746,41.029395
19119,-96.210228,43.380532
19121,-94.015546,41.330711
19123,-92.640910,41.335216
19125,-93.099446,41.334444
19127,-92.998785,42.035839
19129,-95.621323,41.033432
19131,-92.789013,43.356364
19133,-95.959874,42.051640
19135,-92.868998,41.029800
19137,-95.156351,41.030153
19139,-91.112692,41.483924
19141,-95.624919,43.083764
19143,-95.623667,43.378579
19145,-95.150183,40.739142
19147,-94.678136,43.082086
19149,-96.214133,42.737813
19151,-94.678744,42.734164
19153,-93.573532,41.685499
19155,-95.542287,41.336621
19157,-92.531455,41.686442
19159,-94.243985,40.735172
19161,-95.105359,42.386236
19163,-90.623237,41.637094
19165,-95.310178,41.685091
19167,-96.177856,43.082634
19169,-93.465045,42.036238
19171,-92.532551,42.079808
19173,-94.696398,40.737386
19175,-94.242365,41.027729
19177,-91.949978,40.753215
19179,-92.409464,41.030581
19181,-93.561358,41.334369
19183,-91.717859,41.335599
19185,-93.327353,40.739504
19187,-94.181783,42.427953
19189,-93.734124,43.377519
19191,-91.843666,43.290623
19193,-96.044793,42.389703
19195,-93.260844,43.377382
19197,-93.735146,42.733084
20001,-95.301359,37.885721
20003,-95.293343,38.214182
20005,-95.313488,39.531749
20007,-98.684823,37.228862
20009,-98.756453,38.478960
20011,-94.849329,37.855203
20013,-95.564209,39.826486
20015,-96.839042,37.781238
20017,-96.593953,38.302040
20019,-96.245383,37.150025
20021,-94.846291,37.169327
20023,-101.731294,39.785869
20025,-99.820298,37.235507
20027,-97.165192,39.349718
20029,-97.649250,39.480304
20031,-95.734105,38.236865
20033,-99.271844,37.191263
20035,-96.837534,37.237709
20037,-94.851817,37.507318
20039,-100.459939,39.784737
20041,-97.152694,38.866487
20043,-95.146799,39.788058
20045,-95.292591,38.884668
20047,-99.312166,37.887637
20049,-96.244141,37.453698
20051,-99.317255,38.914741
20053,-98.204745,38.696642
20055,-100.737001,38.044281
20057,-99.887955,37.691716
20059,-95.285947,38.564530
20061,-96.752544,39.002364
20063,-100.482976,38.916086
20065,-99.883226,39.349723
20067,-101.308029,37.562264
20069,-100.437884,37.738182
20071,-101.806044,38.480564
20073,-96.232621,37.877832
20075,-101.791240,37.999124
